Age,Experience,Income,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,CreditCard,Personal_Loan
62,38,24,2,1.0,1,116,0,0,0,1,5
37,13,78,4,0.1,2,0,0,0,1,0,15
51,26,113,1,1.3,3,161,0,0,1,0,2
39,13,75,3,2.1,1,224,0,0,1,0,15
43,17,91,1,5.7,1,0,0,0,1,0,10
52,28,31,4,0.2,1,141,0,0,1,1,4
30,6,45,1,1.8,2,0,0,0,1,0,14
52,26,80,3,0.8,1,0,0,0,0,0,6
61,35,50,3,1.4,3,112,0,0,1,0,1
36,9,31,4,1.0,2,0,1,0,1,0,15
58,32,113,2,3.8,2,119,0,1,1,1,16
47,23,29,4,0.6,1,0,0,0,1,0,1
64,39,59,2,1.5,1,139,0,0,1,0,2
52,27,43,1,1.3,2,0,1,0,1,0,0
58,28,122,1,3.0,3,115,0,0,1,0,16
48,24,29,1,1.0,1,0,0,0,0,0,7
64,40,91,2,0.0,3,0,0,0,1,1,5
58,32,65,3,2.2,3,0,0,0,1,0,1
47,23,22,1,1.0,1,0,0,0,0,1,5
49,23,71,1,1.4,3,0,0,0,0,0,7
31,4,60,4,2.0,2,0,0,0,1,1,12
61,37,60,3,2.0,3,0,0,0,1,0,1
51,25,69,1,0.3,1,0,0,0,1,1,5
28,-2,48,2,1.75,3,89,0,0,1,0,14
39,13,21,3,0.2,2,0,0,0,0,0,8
54,28,53,4,2.8,2,0,1,0,0,0,6
50,24,29,3,0.9,3,0,0,0,0,0,6
30,4,60,4,2.2,2,0,0,0,1,0,15
64,39,42,3,0.5,2,116,0,0,1,0,1
29,3,69,3,0.3,3,0,0,0,0,0,8
48,24,20,1,1.0,1,0,0,0,1,1,5
35,10,200,2,3.0,1,458,0,0,0,0,11
60,36,141,2,2.1,1,0,0,0,1,1,3
55,30,81,2,3.7,1,0,1,0,0,0,3
29,4,183,3,8.3,3,0,0,0,1,0,17
48,22,149,2,5.5,2,0,1,1,1,0,16
43,19,83,4,3.6,3,0,0,0,0,1,17
66,42,35,1,1.9,2,172,0,0,1,0,2
25,0,13,2,0.9,3,0,0,0,1,0,14
45,20,39,1,2.4,1,0,0,0,0,1,12
34,10,21,1,0.5,3,0,0,0,1,0,14
48,23,10,2,0.7,3,0,0,0,1,1,5
32,6,84,4,1.8,2,0,0,0,0,0,8
50,24,30,4,0.1,1,161,0,0,1,1,4
43,19,31,4,0.3,1,156,0,0,1,0,15
64,39,182,1,1.2,2,547,0,0,1,0,16
60,34,114,2,6.9,1,0,0,0,1,0,3
43,19,152,3,6.1,2,0,0,0,0,0,17
60,34,53,1,0.8,2,0,1,0,0,1,5
64,39,24,4,0.4,2,78,0,0,1,0,1
44,20,150,2,3.3,1,0,0,0,0,1,10
60,36,132,2,6.0,1,470,0,0,1,1,2
54,29,68,3,1.6,3,0,0,0,1,1,5
33,9,53,1,1.2,1,0,0,0,0,1,12
56,32,173,1,4.6,2,88,0,1,1,0,16
29,5,30,3,1.0,2,0,0,0,0,0,8
25,1,113,2,0.2,1,0,0,0,1,1,13
60,34,15,1,0.8,2,0,0,0,1,0,0
55,30,84,2,3.7,1,304,1,0,1,0,2
39,13,88,4,1.4,2,0,0,0,1,1,12
37,13,43,3,2.8,1,0,0,0,1,0,15
53,28,43,2,2.1,3,0,0,1,1,1,4
34,10,90,2,2.7,1,0,0,0,1,0,14
42,18,34,4,0.3,1,104,1,0,1,0,15
60,36,38,4,1.3,1,0,0,0,1,0,1
50,24,173,1,1.0,1,0,0,0,1,1,3
41,17,160,2,8.0,1,0,0,0,1,0,10
25,0,44,4,0.6,2,0,0,0,1,1,12
50,24,83,2,0.4,3,0,0,0,1,0,0
48,22,94,4,2.6,3,0,0,0,1,0,1
32,8,43,1,2.1,3,0,0,0,0,1,12
50,25,42,3,1.7,2,0,0,0,1,0,1
59,33,34,2,0.3,1,0,0,0,0,0,7
50,26,39,3,1.9,2,0,0,0,1,0,1
44,19,70,1,0.1,2,0,0,0,0,0,7
31,5,39,4,1.8,3,185,0,0,0,1,12
40,10,44,3,2.0,3,0,0,0,1,0,15
36,12,69,3,3.1,2,0,0,0,1,0,17
51,25,44,3,0.9,3,0,0,0,0,0,6
64,40,32,3,0.1,3,0,0,0,1,0,1
47,22,15,2,0.7,3,0,0,0,0,0,7
52,28,118,2,6.8,1,112,0,0,1,0,2
51,26,62,1,1.3,2,221,0,0,1,0,2
31,5,82,4,2.2,2,0,0,0,0,0,8
39,14,54,3,3.0,1,108,0,0,0,1,12
30,6,48,1,2.1,3,0,0,0,0,0,8
27,1,74,3,0.3,3,0,0,0,1,0,15
41,16,113,1,1.0,3,211,0,0,0,1,12
53,27,81,3,1.7,2,0,0,0,0,0,6
54,27,43,3,1.0,2,169,0,0,0,0,6
28,4,34,1,1.8,2,0,0,0,1,0,14
34,9,48,1,2.5,3,105,0,0,1,0,14
61,37,54,4,1.2,2,129,0,0,1,1,4
48,24,75,4,1.4,2,0,0,0,1,0,1
36,11,72,1,2.8,1,224,0,0,0,0,9
56,31,39,4,0.9,1,0,0,0,0,0,6
24,-1,75,4,0.2,1,0,0,0,1,0,15
64,38,79,2,2.8,1,179,0,0,0,0,2
26,2,205,1,6.33,1,271,0,0,0,1,11
33,8,65,2,0.1,1,89,0,0,1,0,14
64,39,122,4,0.2,1,378,0,0,1,0,16
39,15,82,1,0.8,2,0,0,0,1,0,14
54,30,21,2,0.2,1,0,0,0,0,1,5
32,6,50,4,2.1,3,0,1,1,1,1,13
62,37,39,2,2.8,1,113,0,1,1,1,4
